Model,TDP (Watts)
GeForce 8600M GS,20.0
GeForce 8600M GT,20.0
GeForce 8700M GT,29.0
GeForce 8800M GTS,50.0
GeForce 8800M GTX,65.0
GeForce 9100M G mGPU,12.0
GeForce 9200M GS,13.0
GeForce 9300M G,13.0
GeForce 9300M GS,13.0
GeForce 9400M G,12.0
GeForce 9500M G,20.0
GeForce 9500M GS,20.0
GeForce 9600M GS,20.0
GeForce 9600M GT,23.0
GeForce 9650M GS,29.0
GeForce 9650M GT,23.0
GeForce 9700M GT,45.0
GeForce 9700M GTS,60.0
GeForce 9800M GS,60.0
GeForce 9800M GTS,75.0
GeForce 9800M GT,65.0
GeForce 9800M GTX,75.0
GeForce G 102M,14.0
GeForce G 103M,14.0
GeForce G 105M,14.0
GeForce G 110M,14.0
GeForce GT 120M,23.0
GeForce GT 130M,23.0
GeForce GTS 150M,
GeForce GTS 160M,60.0
GeForce G210M,14.0
GeForce GT 220M,14.0
GeForce GT 230M,23.0
GeForce GT 240M,23.0
GeForce GTS 250M,28.0
GeForce GTS 260M,38.0
GeForce GTX 260M,65.0
GeForce GTX 280M,75.0
GeForce GTX 285M,75.0
GeForce 305M,14.0
GeForce 310M,14.0
GeForce 315M,14.0
GeForce 320M,20.0
GeForce GT 320M,14.0
GeForce GT 325M,23.0
GeForce GT 330M,23.0
GeForce GT 335M,28.0
GeForce GTS 350M,28.0
GeForce GTS 360M,38.0
GeForce 410M,12.0
GeForce GT 415M,12.0
GeForce GT 420M,10.0
GeForce GT 425M,20.0
GeForce GT 435M,32.0
GeForce GT 445M,30.0
GeForce GTX 460M,45.0
GeForce GTX 470M,45.0
GeForce GTX 480M,100.0
GeForce GTX 485M,100.0
GeForce GT 520M,12.0
GeForce GT 520M,20.0
GeForce GT 520MX,20.0
GeForce GT 525M,20.0
GeForce GT 540M,32.0
GeForce GT 550M,32.0
GeForce GT 555M,30.0
GeForce GTX 560M,75.0
GeForce GTX 570M,75.0
GeForce GTX 580M,100.0
GeForce 610M,12.0
GeForce GT 620M,15.0
GeForce GT 625M,15.0
GeForce GT 630M,33.0
GeForce GT 635M,35.0
GeForce GT 640M LE,32.0
GeForce GT 640M,32.0
GeForce GT 645M,32.0
GeForce GT 650M,45.0
GeForce GTX 660M,50.0
GeForce GTX 670M,75.0
GeForce GTX 670MX,75.0
GeForce GTX 675M,100.0
GeForce GTX 675MX,100.0
GeForce GTX 680M,100.0
GeForce GTX 680MX,122.0
GeForce 710M,12.0
GeForce 710M,15.0
GeForce GT 720M,
GeForce GT 720M,22.0
GeForce GT 730M,33.0
GeForce GT 735M,
GeForce GT 740M,
GeForce GT 740M,45.0
GeForce GT 745M,45.0
GeForce GT 750M,50.0
GeForce GT 755M,50.0
GeForce GTX 760M,55.0
GeForce GTX 765M,65.0
GeForce GTX 770M,75.0
GeForce GTX 780M,122.0
GeForce 810M,15.0
GeForce 820M,15.0
GeForce 825M,33.0
GeForce 830M,25.0
GeForce 840M,30.0
GeForce 845M,33.0
GeForce 845M,45.0
GeForce GTX 850M,40.0
GeForce GTX 850M,40.0
GeForce GTX 860M,40.0
GeForce GTX 860M,75.0
GeForce GTX 870M,110.0
GeForce GTX 880M,130.0
GeForce 910M,33.0
GeForce 920M,33.0
GeForce 930M,29.0
GeForce 940M,36.0
GeForce 940MX,23.0
GeForce 940MX,23.0
GeForce GTX 950M,
GeForce GTX 950M,55.0
GeForce GTX 960M,65.0
GeForce GTX 965M,60.0
GeForce GTX 970M,75.0
GeForce GTX 980M,100.0
GeForce GTX 980,165.0
GeForce GTX 1050 (Notebook),53.0
GeForce GTX 1050 Ti (Notebook),64.0
GeForce GTX 1060 (Notebook),80.0
GeForce GTX 1060 Max-Q,80.0
GeForce GTX 1060 Max-Q,80.0
GeForce GTX 1070 (Notebook),115.0
GeForce GTX 1070 Max-Q,
GeForce GTX 1080 (Notebook),150.0
